Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
1762435485200779,-985.487854,-173.292694,49.634148,0.983398,0.175781,0.129883
1762435485210892,-667.621948,-37.500000,29.817074,0.980957,0.154297,0.134277
1762435485221004,-619.207336,-207.682938,-7.743903,0.987793,0.116211,0.149902
1762435485231119,-174.085373,-88.780487,-26.646341,0.992676,0.087891,0.136719
1762435485241228,-63.414635,52.195122,-5.609756,1.014160,0.076172,0.143066
1762435485251341,-115.365860,-16.829269,0.365854,1.013184,0.057617,0.128906
1762435485261453,30.000000,53.353661,15.975610,1.010742,0.032715,0.121094
1762435485271566,32.560978,7.621952,-56.219513,0.987305,0.020996,0.115234
1762435485281678,-20.731709,135.304886,-103.109756,0.976562,0.020020,0.100098
1762435485291790,-91.585365,12.378049,-142.195129,0.980957,0.019531,0.098145
1762435485301902,-143.597565,-13.597561,-138.353668,0.987305,0.005371,0.073242
1762435485312014,-63.475613,13.536586,-127.743904,1.003906,-0.016602,0.060059
1762435485322127,217.682938,131.280487,-121.158539,1.010254,-0.027344,0.032715
1762435485332240,302.378052,204.329269,-124.329269,1.008789,-0.020508,0.026855
1762435485342351,168.231705,69.207321,-150.609756,1.006836,-0.019043,0.030762
1762435485352464,-5.182927,-32.682926,-160.060974,0.986816,-0.029785,0.019531
1762435485362576,-40.975609,-41.524391,-213.231720,0.977051,-0.042480,0.007324
1762435485372688,84.390244,-128.658539,-230.548782,0.993164,-0.046875,-0.021973
1762435485382800,221.097565,-35.000000,-198.292694,1.001465,-0.040527,-0.051758
1762435485392913,439.146362,31.707317,-157.743912,1.018066,-0.052246,-0.064453
1762435485403025,999.512207,23.597561,-156.890244,1.005859,-0.065430,-0.071777
1762435485413137,1072.134155,-53.353661,-193.475616,1.000977,-0.046875,-0.058594
1762435485423250,1154.268311,-88.170731,-184.329269,0.998047,0.000977,-0.053711
1762435485433363,957.439026,-71.036591,-177.256104,1.011230,0.062500,-0.046875
1762435485443474,385.792694,-9.695122,-185.914642,1.027832,0.148438,-0.041016
1762435485453586,-388.170746,113.414635,-200.792694,1.034668,0.182129,-0.002930
1762435485463699,-625.121948,4.634147,-222.378052,1.025391,0.189941,0.038574
1762435485473811,-725.975647,36.585365,-252.682938,1.022461,0.165039,0.082520
1762435485483924,-290.243896,69.573174,-239.451218,1.016113,0.157227,0.124023
1762435485494035,-196.097565,45.060978,-209.207321,1.023438,0.176758,0.144043
1762435485504148,171.036591,-85.304878,-160.426834,1.027832,0.179199,0.127930
1762435485514260,-65.182930,-23.109756,-171.585373,1.027344,0.164062,0.082031
1762435485524372,10.365854,73.963417,-146.036591,1.039551,0.154785,0.026367
1762435485534485,-21.829269,210.243912,-115.060982,1.034668,0.159180,-0.020996
1762435485544599,-194.268295,220.853668,-70.975609,1.010254,0.156738,-0.033203
1762435485554709,-95.000000,59.085369,2.378049,0.975586,0.129883,0.013184
1762435485564821,29.817074,15.243903,16.219513,0.966309,0.139648,-0.005371
1762435485574934,39.329269,-10.182927,81.768295,0.983887,0.127930,-0.011719
1762435485585046,160.243912,6.524390,97.743904,0.992676,0.104980,-0.022461
1762435485595160,903.414673,122.439026,106.524391,0.993652,0.081543,-0.027832
1762435485605271,750.000000,74.817078,160.792694,0.981934,0.083496,-0.019043
1762435485615383,643.048767,-17.743902,205.000000,0.975098,0.102051,-0.015625
1762435485625495,657.256104,-56.890244,211.829269,0.965332,0.121094,-0.022949
1762435485635607,605.487793,-151.219513,229.329269,0.964355,0.140625,-0.049805
1762435485645720,403.902435,15.243903,202.012207,0.986328,0.184082,-0.097656
1762435485655832,-119.512199,169.268295,119.268295,1.015625,0.212891,-0.122070
1762435485665944,-300.060974,201.951218,86.158539,1.007324,0.221191,-0.127930
1762435485676057,-231.036591,282.256104,96.890244,0.997559,0.228027,-0.104492
1762435485686169,-345.000000,131.890244,80.792686,0.981445,0.244141,-0.054688
1762435485696281,-311.036591,20.365854,106.219513,0.968262,0.260254,-0.001953
1762435485706393,-323.170746,-9.146341,105.670731,0.953613,0.280273,0.028809
1762435485716506,-864.756104,-94.268295,87.621956,0.944336,0.279297,0.052246
1762435485726618,-1120.426880,-154.268295,75.609756,0.961914,0.310547,0.057617
1762435485736730,-1227.561035,-73.353661,144.634155,0.994141,0.332520,0.037598
1762435485746843,-1018.780518,-15.060976,202.804886,1.003418,0.308594,0.008301
1762435485756955,-716.524414,-8.353659,181.524399,0.993164,0.282715,-0.025879
1762435485767067,-554.207336,-30.060976,197.012207,0.980469,0.240723,-0.052246
1762435485777180,-386.524414,-92.134148,158.963425,0.962402,0.187988,-0.073730
1762435485787292,-97.621956,-34.573170,108.780487,0.962402,0.149414,-0.087891
1762435485797404,-41.951221,-3.902439,101.524391,0.994629,0.125000,-0.082031
1762435485807516,107.073174,-17.926830,218.963425,1.013672,0.097656,-0.066895
1762435485817628,307.682922,81.158539,209.939026,1.017578,0.059570,-0.039551
1762435485827741,1000.121948,24.939026,249.878052,1.029785,0.043457,-0.006348
1762435485837853,167.500000,-25.853659,208.292694,1.005859,0.030762,0.022949
